date,ftraffic,ltr,rtl,dow,month,s_holid,p_holid,br_mo,br_fr,bweek,fest
2020-05-24,5496.0,,,Sunday,May,0,0,0,0,0,0
2020-05-25,23155.0,,,Monday,May,0,0,0,0,0,0
2020-05-26,23880.0,,,Tuesday,May,0,0,0,0,0,0
2020-05-27,24832.0,,,Wednesday,May,0,0,0,0,0,0
2020-05-28,25289.0,,,Thursday,May,0,0,0,0,0,0
2020-05-29,28371.0,,,Friday,May,0,0,0,0,0,0
2020-05-30,35161.0,,,Saturday,May,0,0,0,0,0,0
2020-05-31,6885.0,,,Sunday,May,0,0,0,0,0,0
2020-06-01,7523.0,,,Monday,June,0,1,0,0,0,0
2020-06-02,30064.0,,,Tuesday,June,1,0,0,0,0,0
2020-06-03,23531.0,,,Wednesday,June,1,0,0,0,0,0
2020-06-04,20940.0,,,Thursday,June,1,0,0,0,0,0
2020-06-05,26971.0,,,Friday,June,1,0,0,0,0,0
2020-06-06,32779.0,,,Saturday,June,1,0,0,0,0,0
2020-06-07,6697.0,,,Sunday,June,1,0,0,0,0,0
2020-06-08,29672.0,,,Monday,June,1,0,0,0,0,0
2020-06-09,27053.0,,,Tuesday,June,1,0,0,0,0,0
2020-06-10,28930.0,,,Wednesday,June,1,0,0,0,0,0
2020-06-11,7504.0,,,Thursday,June,1,1,0,0,0,0
2020-06-12,38003.0,,,Friday,June,1,0,0,1,0,0
2020-06-13,32875.0,,,Saturday,June,1,0,0,0,0,0
2020-06-14,5557.0,,,Sunday,June,0,0,0,0,0,0
2020-06-15,10699.0,,,Monday,June,0,0,0,0,0,0
2020-06-16,24076.0,,,Tuesday,June,0,0,0,0,0,0
2020-06-17,21041.0,,,Wednesday,June,0,0,0,0,0,0
2020-06-18,25956.0,,,Thursday,June,0,0,0,0,0,0
2020-06-19,28067.0,,,Friday,June,0,0,0,0,0,0
2020-06-20,34782.0,,,Saturday,June,0,0,0,0,0,0
2020-06-21,7536.0,,,Sunday,June,0,0,0,0,0,0
2020-06-22,23820.0,,,Monday,June,0,0,0,0,0,0
2020-06-23,18555.0,,,Tuesday,June,0,0,0,0,0,0
2020-06-24,24163.0,,,Wednesday,June,0,0,0,0,0,0
2020-06-25,25684.0,,,Thursday,June,0,0,0,0,0,0
2020-06-26,27226.0,,,Friday,June,0,0,0,0,0,0
2020-06-27,33060.0,,,Saturday,June,0,0,0,0,0,0
2020-06-28,6868.0,,,Sunday,June,0,0,0,0,0,0
2020-06-29,26688.0,,,Monday,June,0,0,0,0,0,0
2020-06-30,28188.0,,,Tuesday,June,0,0,0,0,0,0
2020-07-01,25893.0,,,Wednesday,July,0,0,0,0,0,0
2020-07-02,27209.0,,,Thursday,July,0,0,0,0,0,0
2020-07-03,31631.0,,,Friday,July,0,0,0,0,0,0
2020-07-04,38660.0,,,Saturday,July,0,0,0,0,0,0
2020-07-05,8564.0,,,Sunday,July,0,0,0,0,0,0
2020-07-06,28803.0,,,Monday,July,0,0,0,0,0,0
2020-07-07,28588.0,,,Tuesday,July,0,0,0,0,0,0
2020-07-08,22931.0,,,Wednesday,July,0,0,0,0,0,0
2020-07-09,28737.0,,,Thursday,July,0,0,0,0,0,0
2020-07-10,30462.0,,,Friday,July,0,0,0,0,0,0
2020-07-11,41470.0,,,Saturday,July,0,0,0,0,0,0
2020-07-12,8296.0,,,Sunday,July,0,0,0,0,0,0
2020-07-13,28193.0,,,Monday,July,0,0,0,0,0,0
2020-07-14,26857.0,,,Tuesday,July,0,0,0,0,0,0
2020-07-15,25067.0,,,Wednesday,July,0,0,0,0,0,0
2020-07-16,26139.0,,,Thursday,July,0,0,0,0,0,0
2020-07-17,31919.0,,,Friday,July,0,0,0,0,0,0
2020-07-18,39531.0,,,Saturday,July,0,0,0,0,0,0
2020-07-19,8006.0,,,Sunday,July,0,0,0,0,0,0
2020-07-20,26439.0,,,Monday,July,0,0,0,0,0,0
2020-07-21,27663.0,,,Tuesday,July,0,0,0,0,0,0
2020-07-22,27768.0,,,Wednesday,July,0,0,0,0,0,0
2020-07-23,28231.0,,,Thursday,July,0,0,0,0,0,0
2020-07-24,32847.0,,,Friday,July,0,0,0,0,0,0
2020-07-25,36947.0,,,Saturday,July,0,0,0,0,0,0
2020-07-26,8256.0,,,Sunday,July,0,0,0,0,0,0
2020-07-27,29567.0,,,Monday,July,1,0,0,0,0,0
2020-07-28,28866.0,,,Tuesday,July,1,0,0,0,0,0
2020-07-29,30070.0,,,Wednesday,July,1,0,0,0,0,0
2020-07-30,16300.0,,,Thursday,July,1,0,0,0,0,0
2020-07-31,28063.0,,,Friday,July,1,0,0,0,0,0
2020-08-01,28049.0,,,Saturday,August,1,0,0,0,0,0
2020-08-02,8350.0,,,Sunday,August,1,0,0,0,0,0
2020-08-03,32798.0,,,Monday,August,1,0,0,0,0,0
2020-08-04,33785.0,,,Tuesday,August,1,0,0,0,0,0
